article_id,article_name,target_fill_rate,realized_fill_rate,total_demand,filled_demand,lost_sales,avg_on_hand,orders_placed,units_ordered,avg_R,Q
1670,Bathroom accessories,0.998951416015625,0.9898255813953488,3440,3405,35,512.060773480663,3535,3535,636.828729281768,1
1672,Watering cans,0.998951416015625,0.9800663607124241,78661,77093,1568,11646.331491712706,5,69840,22115.906077348067,13968
1675,Baskets,0.998951416015625,1.0,14826,14826,0,669.1933701657458,15,14850,389.414364640884,990
1678,Wash treatment and accessories,0.998951416015625,1.0,3277,3277,0,185.00552486187846,45,3240,273.2651933701657,72
1679,Cleaning products,0.998951416015625,0.9938217122683142,6798,6756,42,247.49171270718233,38,6612,415.9447513812155,174
1680,Cleaning products,0.998951416015625,0.8897586570968464,93767,83430,10337,3390.403314917127,103,82400,4271.602209944751,800
1681,Cleaning products,0.998951416015625,0.9911807428927163,9638,9553,85,866.7845303867404,11,9504,1463.475138121547,864
1688,Personal care,0.998951416015625,0.7086009159843046,158518,112326,46192,6680.4309392265195,76,111872,6994.740331491713,1472
1689,Personal care,0.998951416015625,0.82934090596803,174664,144856,29808,6581.314917127072,99,145728,7671.806629834254,1472
1693,Coffee makers and kettles,0.998951416015625,0.9657026979368718,11342,10953,389,480.64088397790056,375,11250,883.4917127071823,30
1694,Electric personal care,0.998951416015625,0.637069891348313,71697,45676,26021,7902.513812154696,62,46872,5336.508287292818,756
1711,Small garden,0.998951416015625,1.0,7132,7132,0,3639.2983425414363,25,7200,4006.6519337016575,288
1724,Candles & Tealights,0.998951416015625,1.0,366,366,0,9629.502762430939,0,0,747.0828729281768,9120
1738,Partyfun,0.998951416015625,1.0,38737,38737,0,1144.707182320442,73,39420,1528.2707182320441,540
1739,Vases,0.998951416015625,0.964924838940587,5588,5392,196,237.83977900552486,66,5280,399.64088397790056,80
1751,Tools,0.998951416015625,1.0,0,0,0,46.0,0,0,40.0,6
1752,Reading glasses,0.998951416015625,1.0,3151,3151,0,2982.685082872928,1,2500,2154.988950276243,2500
1753,Others,0.998951416015625,1.0,1373,1373,0,743.6795580110497,1,784,268.16022099447514,784
1756,Serve and present,0.998951416015625,1.0,7237,7237,0,3448.0,23156,23156,13206.762430939227,1
1760,Kitchen tools,0.998951416015625,1.0,172,172,0,96.74585635359117,1,128,26.204419889502763,128
1762,Teletoys,0.998951416015625,1.0,337,337,0,95.8232044198895,2,240,43.87845303867403,120
1763,Hobby and creative,0.998951416015625,1.0,16,16,0,510.3922651933702,0,0,8.552486187845304,504
1764,Hobby and creative,0.998951416015625,1.0,235,235,0,12214.502762430939,0,0,11369.088397790056,1
1766,Puzzles,0.998951416015625,1.0,37,37,0,32.348066298342545,2,24,26.80110497237569,12
1771,Cleaning products,0.998951416015625,1.0,7304,7304,0,1095.5745856353592,6940,6940,1326.6022099447514,1
1772,Window and squeegees,0.998951416015625,0.9859833943397911,22402,22088,314,1046.6408839779006,469,22512,1873.524861878453,48
1773,Cleaning products,0.998951416015625,0.9969278033794163,2604,2596,8,1101.878453038674,1,1986,132.98342541436463,1986
1774,"Cloths, mops, sponges and brush",0.998951416015625,1.0,6943,6943,0,509.41988950276243,124,7440,1282.7624309392265,60
1783,Personal care,0.998951416015625,0.9874293330882015,261084,257802,3282,9374.486187845303,763,256368,13385.629834254143,336
1784,Cutlery,0.998951416015625,0.9971153846153846,4160,4148,12,185.93370165745856,182,4368,335.49171270718233,24
1786,Racks and pockets,0.998951416015625,1.0,26438,26438,0,8720.988950276243,3,25452,7593.541436464088,8484
1787,Stairs,0.998951416015625,0.9822268687924726,9565,9395,170,484.83977900552486,274,9316,823.6685082872929,34
1795,"Cloths, mops, sponges and brush",0.998951416015625,1.0,2776,2776,0,1235.46408839779,2,2340,796.8453038674033,1170
1797,Kitchen textile,0.998951416015625,1.0,4896,4896,0,369.2044198895028,10,4800,294.1325966850829,480
1798,Umbrellas,0.998951416015625,1.0,32,32,0,2424.4585635359117,0,0,2034.7513812154696,1
1799,Bath textiles and bath mats,0.998951416015625,0.8226649669851183,69817,57436,12381,11655.569060773481,228,237120,68821.11602209945,1040
1806,Mugs and cups,0.998951416015625,1.0,54526,54526,0,13919.767955801104,59,48852,34911.65745856354,828
1813,Tea and coffee,0.998951416015625,0.9689988623435722,17580,17035,545,1973.9337016574586,21,16128,2054.585635359116,768
1815,Light bulbs,0.998951416015625,1.0,1805,1805,0,375.74585635359114,6,1650,290.50276243093924,275
1821,"Glasses (drink, beer, wine etc)",0.998951416015625,1.0,24,24,0,30.54696132596685,1,6,24.39779005524862,6
1823,Drinks,0.998951416015625,1.0,467,467,0,1974.3038674033148,302,302,1981.9944751381215,1
1826,"Cloths, mops, sponges and brush",0.998951416015625,1.0,691,691,0,3084.497237569061,0,0,1035.1602209944751,2340
1828,Foods,0.998951416015625,1.0,79,79,0,2081.8342541436464,54,54,2081.254143646409,1
1829,"Glasses (drink, beer, wine etc)",0.998951416015625,1.0,1635,1635,0,213.24309392265192,5,1440,125.66850828729282,288
1831,Bakeware,0.998951416015625,1.0,417,417,0,51.348066298342545,423,423,66.13812154696133,1
1832,Tableware,0.998951416015625,1.0,5985,5985,0,1033.1270718232045,251,6024,1243.9558011049724,24
1833,Special pans,0.998951416015625,0.995850622406639,482,480,2,44.9060773480663,23,460,51.0939226519337,20
1842,Baby / Toddler,0.998951416015625,1.0,0,0,0,93.0,0,0,92.0,1
1850,Girls toys,0.998951416015625,0.9891956782713085,833,824,9,36.049723756906076,142,852,49.75690607734806,6
1862,Coffee makers and kettles,0.998951416015625,1.0,210,210,0,6525.817679558011,177,177,6498.314917127072,1
1868,Small storage,0.998951416015625,1.0,26244,26244,0,1163.4972375690609,13,26208,572.3259668508288,2016
1872,Toilet accessories,0.998951416015625,1.0,11682,11682,0,651.2486187845304,57,11400,2157.817679558011,200
1874,Serve and present,0.998951416015625,1.0,619,619,0,201.59116022099448,604,604,210.09944751381215,1
1876,Bathroom accessories,0.998951416015625,1.0,635,635,0,161.353591160221,637,637,183.14364640883977,1
1878,Bathroom accessories,0.998951416015625,1.0,1466,1466,0,249.27624309392266,1460,1460,302.56906077348066,1
